ENCODED_MCT,TA_YM,HPSN_MCT_BZN_CD_NM,closure_probability,risk_score,risk_level,risk_type,priority,classification_confidence,MCT_NM
D402962627,202412,성수,0.9865471,98,Very High,기타 위험,watch,0.6666666666666666,우리******
F8A788D183,202412,성수,0.979011,97,Very High,경쟁 열위형,important,0.4,본지*****
C05AB78A24,202412,왕십리,0.9702373,97,Very High,매출 급락형,urgent,0.3,경희*****
51DB10788F,202412,한양대,0.9741382,97,Very High,매출 급락형,urgent,0.3,버거*
F0228002E3,202412,성수,0.96759284,96,Very High,매출 급락형,urgent,0.3,부흥**
DA72A54F82,202412,금남시장,0.96759284,96,Very High,매출 급락형,urgent,0.3,명가****
F80F79F599,202412,옥수,0.96759284,96,Very High,매출 급락형,urgent,0.3,파파*****
FDE93C77D7,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,대한**
E71673016B,202412,왕십리,0.96759284,96,Very High,매출 급락형,urgent,0.3,망고*
C168E9F433,202412,마장동,0.96759284,96,Very High,매출 급락형,urgent,0.3,장푸*
B7958D77E3,202412,옥수,0.96759284,96,Very High,매출 급락형,urgent,0.3,포몬*****
8B132478F2,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,토프********
ACC0BA1B1B,202412,성수,0.96759284,96,Very High,매출 급락형,urgent,0.3,육*
9C94746856,202412,금남시장,0.96759284,96,Very High,매출 급락형,urgent,0.3,맛닭******
B2DA05F4F2,202412,옥수,0.96759284,96,Very High,매출 급락형,urgent,0.3,항구*****
FD2A903C77,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,프랭************
5424DBE00D,202412,성수,0.96759284,96,Very High,매출 급락형,urgent,0.3,DS*******
777479BC93,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,참김***
708697C149,202412,마장동,0.96759284,96,Very High,매출 급락형,urgent,0.3,통통***
72DBCB6C77,202412,왕십리,0.96759284,96,Very High,매출 급락형,urgent,0.3,행당***
20AFB06A43,202412,답십리,0.96759284,96,Very High,매출 급락형,urgent,0.3,땅스***********
